SN	Author	Title	Description	Keywords
1	'Bruce Eckel'	'Thinking in Java 4th edition'	'This is a book that touches on every basic aspect of the Java language, keeping an introductory level throughout but delving into deep usage of the Java standard libraries.'	'Java, Programming'
2	'Thomas H Cormen'	'Introduction to Algorithms'	'Introduction to Algorithms is a comprehensive and fully understandable introduction to the study of algorithms that makes it suitable for use as a text, handbook or general reference.'	'Algorithms, Computer Science'
3	'William Loftus, John Lewis'	'Java Software Solutions'	'For courses in Java programming Empowers students to write useful, object-oriented programs Java Software Solutions establishes a strong foundation of programming techniques to foster well-designed object-oriented software. Heralded for its integration of small and large real-world examples, the worldwide best-selling text emphasizes problem-solving and design skills and introduces students to the...'	'Programming, Java'
4	'Eric Matthes'	'Python Crash Course: A Hands-On, Project-Based Introduction to Programming'	' Python Crash Course is a fast-paced, thorough introduction to Python that will have you writing programs, solving problems, and making things that work in no time. '	'Python, Programming'
5	'Mark Lutz'	'Learning Python, 5th Edition'	' '	'Python, Programming, Computer Science'
6	'Al Sweigart'	'Automate the Boring Stuff with Python: Practical Programming for Total Beginners'	'If you’ve ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? In Automate the Boring Stuff with Python, you’ll learn how to use Python to write programs that do in minutes what would take you hours to do by hand—no prior programming experience required. Once you’ve mastered the basics of programming, you’ll create Python programs that effortlessly perform useful and impressive feats of automation'	'Programming, Python, Automate'
7	'Anthony Brun'	'Python Programming: A Step By Step Guide From Beginner To Expert '	'Python Programming: A Step By Step Guide From Beginner To Expert (Beginner, Intermediate & Advanced) Paperback – January 27, 2019'	'Programming, Python, Computer Science'
8	'Peter Seibel'	'Coders at Work: Reflections on the Craft of Programming 1st ed. Edition'	'Peter Seibel interviews 15 of the most interesting computer programmers alive today in Coders at Work, offering a companion volume to Apress’s highly acclaimed best-seller Founders at Work by Jessica Livingston. As the words “at work” suggest, Peter Seibel focuses on how his interviewees tackle the day-to-day work of programming, while revealing much more, like how they became great programmers, how they recognize programming talent in others, and what kinds of problems they find most interesting.'	'Programming, Computer Science, Algorithms'
9	'Steve McConnell'	'Code Complete: A Practical Handbook of Software Construction, Second Edition'	'Widely considered one of the best practical guides to programming, Steve McConnell’s original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices—and hundreds of new code samples—illustrating the art and science of software construction. Capturing the body of knowledge available from research, academia, and everyday commercial practice, McConnell synthesizes the most effective techniques and must-know principles into clear, pragmatic guidance. No matter what your experience level, development environment, or project size, this book will inform and stimulate your thinking—and help you build the highest quality code. '	'Programming, Computer Science, Algorithms'
10	'Frederick P. Brooks Jr.'	'The Mythical Man-Month: Essays on Software Engineering, Anniversary Edition'	'The premise of this book is built on the fact that computers change, but people don’t. The Mythical Man Month is a programming classic that discusses the human elements of software engineering. Even though the book was written 30 years ago (first published in 1975) it’s stood the test of time. Why? Because building things, including software, has been as much about people as much as hit has been about materials or technology. If you’re aspiring to become a project manager, this book will help you understand things that can go wrong in software development and will give you practical advice or working with, organizing and managing teams.'	'Programming, Computer Science, Algorithms, Software Engineering'
11	'Steve Krug'	'Don’t Make Me Think, Revisited: A Common Sense Approach to Web Usability'	'If you’re going to read a book on usability make it this one! Don’t Make Me Think is a great resource for any web developer who want to create websites, mobile sites or mobile apps that are much easier to use. The book is loaded with helpful information that’s presented in a clear and concise way that could be understood by both technical and non-technical audiences alike.'	'Web Usability, User interfaces'
12	'Wes McKinney'	'Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython 2nd Edition'	' Get complete instructions for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.6, the second edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively. You’ll learn the latest versions of pandas, NumPy, IPython, and Jupyter in the process.'	'Programming, Data Science, Python, Pandas'
13	'Zed A. Shaw'	'Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code  1st Edition'	'In Learn Python 3 the Hard Way, you’ll learn Python by working through 52 brilliantly crafted exercises. Read them. Type their code precisely. (No copying and pasting!) Fix your mistakes. Watch the programs run. As you do, you’ll learn how a computer works; what good programs look like; and how to read, write, and think about code. Zed then teaches you even more in 5+ hours of video where he shows you how to break, fix, and debug your code—live, as he’s doing the exercises. '	'Programming, Python'
14	'Francois Chollet'	'Deep Learning with Python 1st Edition'	'Deep Learning with Python introduces the field of deep learning using the Python language and the powerful Keras library. Written by Keras creator and Google AI researcher François Chollet, this book builds your understanding through intuitive explanations and practical examples.'	'Programming, Python, Artificial Intelligence, Deep learning, Machine learning'
15	'Peter Bruce and Andrew Bruce'	'Practical Statistics for Data Scientists: 50 Essential Concepts 1st Edition'	'Statistical methods are a key part of of data science, yet very few data scientists have any formal statistics training. Courses and books on basic statistics rarely cover the topic from a data science perspective. This practical guide explains how to apply various statistical methods to data science, tells you how to avoid their misuse, and gives you advice on what's important and what's not. Many data science resources incorporate statistical methods but lack a deeper statistical perspective. If you’re familiar with the R programming language, and have some exposure to statistics, this quick reference bridges the gap in an accessible, readable format.'	'Statistics, Data Science'
16	'Gayle Laakmann McDowell'	'Cracking the Coding Interview: 189 Programming Questions and Solutions 6th Edition'	'I am not a recruiter. I am a software engineer. And as such, I know what it's like to be asked to whip up brilliant algorithms on the spot and then write flawless code on a whiteboard. I've been through this as a candidate and as an interviewer. Cracking the Coding Interview, 6th Edition is here to help you through this process, teaching you what you need to know and enabling you to perform at your very best. I've coached and interviewed hundreds of software engineers. The result is this book. Learn how to uncover the hints and hidden details in a question, discover how to break down a problem into manageable chunks, develop techniques to unstick yourself when stuck, learn (or re-learn) core computer science concepts, and practice on 189 interview questions and solutions.'	'Programming, Interview'
